City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Luderitz,NA,2022-10-14 14:44:06,-26.6481,15.1594,71.22,52,98,25.39
123,Cherskiy,RU,2022-10-14 14:44:07,68.75,161.3,1.96,97,100,6.04
124,Laguna,US,2022-10-14 14:44:07,38.421,-121.4238,67.01,94,0,3.44
125,Atuona,PF,2022-10-14 14:44:07,-9.8,-139.0333,76.06,81,7,17.98
126,Palmer,US,2022-10-14 14:44:08,42.1584,-72.3287,58.98,85,75,4.61
127,San Ramon De La Nueva Oran,AR,2022-10-14 14:44:08,-23.1322,-64.326,77.43,23,11,5.48
128,Pietermaritzburg,ZA,2022-10-14 14:44:08,-29.6168,30.3928,65.68,74,71,3.31
129,Manokwari,ID,2022-10-14 14:44:09,-0.8667,134.0833,79.57,82,100,3.96
130,Stanovoye,RU,2022-10-14 14:44:09,52.7638,38.3582,40.95,65,53,2.93
131,Belyy Yar,RU,2022-10-14 14:44:10,53.6039,91.3903,30.85,84,0,2.24
132,Chernyshevskiy,RU,2022-10-14 14:44:10,63.0128,112.4714,27.77,69,100,4.38
133,Berlevag,NO,2022-10-14 14:44:10,70.8578,29.0864,37.2,86,40,4.61
134,Poso,ID,2022-10-14 14:44:11,-1.3959,120.7524,78.53,84,91,4.47
135,Nikolskoye,RU,2022-10-14 14:44:11,59.7035,30.7861,49.91,85,100,7.45
136,Castro,BR,2022-10-14 14:44:11,-24.7911,-50.0119,58.69,97,100,5.73
137,Marystown,CA,2022-10-14 14:43:11,47.1666,-55.1483,58.3,58,45,4.56
138,Mgandu,TZ,2022-10-14 14:44:12,-5.95,34.1333,82.18,18,13,7.78
139,Sumbe,AO,2022-10-14 14:44:12,-11.2061,13.8437,77.65,76,21,13.4
140,Plettenberg Bay,ZA,2022-10-14 14:45:13,-34.0527,23.3716,64.51,76,77,8.57
141,Kholm,RU,2022-10-14 14:45:13,59.2667,32.85,43.21,90,100,6.42
142,Mareeba,AU,2022-10-14 14:45:13,-17.0,145.4333,70.52,88,26,2.19
143,Songkhla,TH,2022-10-14 14:45:14,6.8333,100.6667,78.85,92,100,3.67
144,Algiers,DZ,2022-10-14 14:43:18,36.7525,3.042,75.02,61,20,9.22
145,Puerto Ayora,EC,2022-10-14 14:43:03,-0.7393,-90.3518,69.76,93,98,5.99
146,Rio Cuarto,AR,2022-10-14 14:45:15,-33.1307,-64.3499,56.97,24,2,28.77
147,Kamaishi,JP,2022-10-14 14:45:15,39.2667,141.8833,61.99,84,100,0.74
148,Socorro,US,2022-10-14 14:45:16,31.6546,-106.3033,69.87,68,75,4.61
149,Chuy,UY,2022-10-14 14:45:16,-33.6971,-53.4616,58.82,44,14,11.79
150,Zarubino,RU,2022-10-14 14:45:16,42.63,131.0922,54.72,81,80,5.84
151,Buala,SB,2022-10-14 14:45:17,-8.145,159.5921,79.23,75,94,2.53
152,Asbe Teferi,ET,2022-10-14 14:45:17,9.0833,40.8667,67.46,62,72,4.05
153,Scarborough,GB,2022-10-14 14:44:53,54.2797,-0.4044,62.17,70,27,7.0
154,Chifeng,CN,2022-10-14 14:45:18,42.2683,118.9636,55.06,28,0,5.79
155,Sergeyevka,KZ,2022-10-14 14:45:18,53.88,67.4158,54.64,50,86,8.75
156,Kupang,ID,2022-10-14 14:45:19,-10.1667,123.5833,79.45,81,91,7.81
